manufacturer,model_name,screen_size_inches,screen,cpu,ram_GB,storage,os,os_version,weight,price_euros,gpu_manufacturer,cpu_manufacturer,screen_width_px,screen_high_px,cpu_speed_ghz
Dell,XPS 13,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Windows,10,1.22kg,"979,00",Intel,Intel,1920,1080,1.6
Asus,Vivobook E200HA,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Windows,10,0.98kg,"191,90",Intel,Intel,1366,768,1.44
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,2.5kg,"999,00",Nvidia,Intel,1920,1080,2.5
HP,255 G6,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,No OS,Version Unknown,1.86kg,"258,00",AMD,AMD,1366,768,1.5
Dell,Inspiron 5379,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.62kg,"819,00",Intel,Intel,1920,1080,1.6
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.91kg,"659,00",Intel,Intel,1920,1080,1.8
Dell,Inspiron 3567,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.3kg,"418,64",Intel,Intel,1366,768,2.0
Apple,MacBook Air,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,macOS,X,1.35kg,"1099,00",Intel,Intel,1440,900,1.6
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.2kg,"800,00",AMD,Intel,1920,1080,1.6
Dell,Latitude 5590,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Windows,10,1.88kg,"1298,00",Intel,Intel,1920,1080,1.9
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,2.5kg,"896,00",Nvidia,Intel,1920,1080,1.6
Chuwi,"LapBook 15.6""",15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Windows,10,1.89kg,"244,99",Intel,Intel,1920,1080,1.44
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,Windows,10,1.65kg,"199,00",AMD,AMD,1366,768,1.5
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,Windows,10,2.71kg,"439,00",AMD,AMD,1920,1080,2.5
Dell,XPS 13,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.2kg,"1869,00",Intel,Intel,3200,1800,1.8
Apple,MacBook Air,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,macOS,X,1.35kg,"998,00",Intel,Intel,1440,900,1.6
Lenovo,IdeaPad 120S-14IAP,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Windows,10,1.44kg,"249,00",Intel,Intel,1366,768,1.1
Acer,Aspire 3,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Linux,Version Unknown,2.1kg,"367,00",Intel,Intel,1366,768,2.7
Dell,Inspiron 5770,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Windows,10,2.8kg,"979,00",AMD,Intel,1920,1080,1.6
HP,250 G6,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Windows,10,1.86kg,"488,69",Intel,Intel,1366,768,2.5
HP,ProBook 450,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.1kg,"879,00",Nvidia,Intel,1920,1080,1.6
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Linux,Version Unknown,2kg,"389,00",Intel,Intel,1920,1080,2.0
Dell,Inspiron 7577,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.65kg,"1499,00",Nvidia,Intel,1920,1080,2.8
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Linux,Version Unknown,2.3kg,"522,99",Nvidia,Intel,1366,768,2.5
Acer,Aspire A515-51G,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Windows,10,2.2kg,"682,00",Intel,Intel,1920,1080,1.6
Dell,Inspiron 7773,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Windows,10,2.77kg,"999,00",Nvidia,Intel,1920,1080,1.6
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256GB SSD,macOS,X,1.37kg,"1419,00",Intel,Intel,2560,1600,2.0
Lenovo,IdeaPad 320-15ISK,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,No OS,Version Unknown,2.2kg,"369,00",Intel,Intel,1366,768,2.0
Asus,Rog Strix,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,Windows,10,3.2kg,"1299,00",AMD,AMD,1920,1080,3.0
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Windows,10,2.3kg,"639,00",AMD,Intel,1920,1080,2.5
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Windows,10,2.8kg,"466,00",Nvidia,Intel,1366,768,1.1
Lenovo,Yoga Book,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Android,Version Unknown,0.69kg,"319,00",Intel,Intel,1920,1200,1.44
Acer,Aspire A515-51G,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.2kg,"841,00",Nvidia,Intel,1920,1080,1.8
HP,255 G6,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB SSD,Windows,10,1.86kg,"398,49",AMD,AMD,1920,1080,2.5
HP,ProBook 430,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Windows,10,1.49kg,"1103,00",Intel,Intel,1920,1080,1.8
Acer,Aspire 3,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Windows,10,2.4kg,"384,00",Intel,Intel,1366,768,2.4
Dell,Inspiron 3576,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.13kg,"767,80",AMD,Intel,1920,1080,1.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,Windows,10,1.91kg,"439,00",Intel,Intel,1920,1080,2.0
Asus,VivoBook Max,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Windows,10,2kg,"586,19",Intel,Intel,1366,768,2.5
Micro-Star International,GS73VR 7RG,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Windows,10,2.43kg,"2449,00",Nvidia,Intel,1920,1080,2.8
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Linux,Version Unknown,2kg,"415,00",Intel,Intel,1920,1080,2.0
Dell,Inspiron 5770,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,Windows,10,2.8kg,"1299,00",AMD,Intel,1920,1080,1.8
Dell,Vostro 5471,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.7kg,"879,00",Intel,Intel,1920,1080,1.6
Lenovo,IdeaPad 520S-14IKB,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB SSD,No OS,Version Unknown,1.7kg,"599,00",Intel,Intel,1920,1080,2.7
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.4kg,"941,00",Intel,Intel,1920,1080,1.6
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.86kg,"690,00",Intel,Intel,1920,1080,2.5
Asus,ZenBook Pro,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Windows,10,1.8kg,"1983,00",Nvidia,Intel,1920,1080,2.8
HP,250 G6,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,Windows,10,1.86kg,"438,69",AMD,Intel,1366,768,2.0
HP,Stream 14-AX040wm,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Windows,10,1.44kg,"229,00",Intel,Intel,1366,768,1.6
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Windows,10,1.9kg,"549,00",Intel,Intel,1920,1080,2.5
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Linux,Version Unknown,3kg,"949,00",Nvidia,Intel,1920,1080,2.8
Microsoft,Surface Laptop,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Windows,10 S,1.252kg,"1089,00",Intel,Intel,2256,1504,2.5
Dell,Inspiron 5370,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.4kg,"955,00",AMD,Intel,1920,1080,1.8
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.2kg,"870,00",AMD,Intel,1920,1080,1.8
Micro-Star International,GL72M 7RDX,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,2.7kg,"1095,00",Nvidia,Intel,1920,1080,2.5
Acer,Aspire E5-475,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1TB HDD,Windows,10,2.1kg,"389,00",Intel,Intel,1366,768,2.0
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Windows,10,2.2kg,"949,00",Nvidia,Intel,1920,1080,2.8
Lenovo,IdeaPad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2TB HDD,No OS,Version Unknown,2.2kg,"519,00",Intel,Intel,1920,1080,2.5
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.02kg,"855,00",Intel,Intel,1920,1080,1.8
Acer,Aspire A515-51G-32MX,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Windows,10,2.2kg,"530,00",Nvidia,Intel,1920,1080,2.7
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Windows,10,2.5kg,"977,00",Nvidia,Intel,1920,1080,1.6
Dell,Latitude 5590,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.88kg,"1096,16",Intel,Intel,1920,1080,1.6
Apple,"MacBook 12""",12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512GB SSD,macOS,X,0.92kg,"1510,00",Intel,Intel,2304,1440,1.3
HP,ProBook 440,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.63kg,"860,00",Intel,Intel,1920,1080,1.6
Lenovo,IdeaPad 320-15AST,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,Windows,10,2.2kg,"399,00",AMD,AMD,1920,1080,2.5
Acer,Aspire 3,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,Windows,10,2.1kg,"395,00",AMD,AMD,1366,768,3.0
Dell,Inspiron 7577,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Windows,10,2.65kg,"1349,00",Nvidia,Intel,1920,1080,2.8
HP,Pavilion 15-CK000nv,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.83kg,"699,00",Nvidia,Intel,1920,1080,1.8
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.96kg,"598,99",Intel,Intel,1920,1080,2.5
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Windows,10,2.2kg,"1449,00",Nvidia,Intel,1920,1080,2.8
Dell,XPS 13,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.21kg,"1649,00",Intel,Intel,1920,1080,1.8
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1TB HDD,Windows,10,2.45kg,"699,00",AMD,AMD,1920,1080,3.0
Acer,Aspire 5,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Windows,10,2.2kg,"689,00",Nvidia,Intel,1920,1080,1.8
HP,Probook 430,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.49kg,"1197,00",Intel,Intel,1920,1080,1.8
Dell,Inspiron 7577,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Windows,10,2.65kg,"1195,00",Nvidia,Intel,1920,1080,2.5
Asus,Zenbook UX430UA,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.25kg,"1049,00",Intel,Intel,1920,1080,2.7
Acer,Spin 5,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.5kg,"847,00",Intel,Intel,1920,1080,1.6
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Linux,Version Unknown,2.2kg,"599,90",AMD,Intel,1920,1080,2.7
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Linux,Version Unknown,2.2kg,"485,00",AMD,Intel,1920,1080,2.0
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Windows,10,2kg,"577,00",Nvidia,Intel,1920,1080,2.4
HP,Omen 15-ce007nv,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Windows,10,2.62kg,"1249,00",Nvidia,Intel,1920,1080,2.8
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.91kg,"719,00",AMD,Intel,1920,1080,2.7
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,Windows,10,2.1kg,"349,00",AMD,AMD,1920,1080,1.5
Dell,Inspiron 3576,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Linux,Version Unknown,2.2kg,"647,00",AMD,Intel,1920,1080,1.6
HP,Envy 13-ad009n,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.38kg,"1119,00",Nvidia,Intel,1920,1080,2.7
Microsoft,Surface Laptop,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10 S,1.252kg,"1340,00",Intel,Intel,2256,1504,2.5
HP,Pavilion 14-BK001nv,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Windows,10,1.58kg,"659,00",Nvidia,Intel,1920,1080,2.5
Lenovo,Ideapad 310-15ISK,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,1.85kg,"414,90",Intel,Intel,1920,1080,2.0
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.3kg,"1193,00",Nvidia,Intel,1920,1080,2.7
Micro-Star International,GP62M 7REX,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.2kg,"1299,00",Nvidia,Intel,1920,1080,2.8
Lenovo,Thinkpad T470,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.58kg,"1480,00",Intel,Intel,1920,1080,2.7
Asus,VivoBook S15,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Windows,10,1.5kg,"1262,00",Nvidia,Intel,1920,1080,1.8
Dell,XPS 13,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Windows,10,1.23kg,"1379,00",Intel,Intel,3200,1800,2.4
Lenovo,ThinkPad Yoga,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.37kg,"1399,00",Intel,Intel,1920,1080,2.5
HP,Probook 440,14.0,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Windows,10,1.63kg,"722,00",Intel,Intel,1366,768,1.6
Dell,XPS 13,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.21kg,"1629,00",Intel,Intel,1920,1080,1.6
HP,Spectre x360,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.26kg,"1398,99",Intel,Intel,1920,1080,1.6
HP,Probook 440,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Windows,10,1.63kg,"1084,00",Intel,Intel,1920,1080,1.8
Dell,Inspiron 7570,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Windows,10,2.16kg,"1130,33",Nvidia,Intel,1920,1080,1.8
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2kg,"564,00",Nvidia,Intel,1920,1080,2.0
Asus,VivoBook S15,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.7kg,"1118,00",Nvidia,Intel,1920,1080,1.8
Acer,Spin 3,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Windows,10,2.1kg,"479,00",Intel,Intel,1920,1080,2.4
Micro-Star International,GS63VR 7RG,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Windows,10,1.8kg,"2241,50",Nvidia,Intel,1920,1080,2.8
Lenovo,IdeaPad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,No OS,Version Unknown,2.2kg,"629,00",Nvidia,Intel,1920,1080,2.5
HP,Probook 470,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,2.5kg,"1271,00",Nvidia,Intel,1920,1080,1.8
Acer,Aspire 3,15.6,1366x768,AMD A9-Series 9420 3GHz,4,256GB SSD,Windows,10,2.1kg,"451,00",AMD,AMD,1366,768,3.0
HP,250 G6,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,No OS,Version Unknown,1.86kg,"259,00",Intel,Intel,1366,768,1.6
HP,Probook 440,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,1.63kg,"812,00",Intel,Intel,1920,1080,1.6
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,14.0,1366x768,AMD E-Series 6110 1.5GHz,4,64GB SSD,Windows,10 S,1.65kg,"277,99",AMD,AMD,1366,768,1.5
Dell,Inspiron 5770,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,Windows,10,2.8kg,"1396,00",AMD,Intel,1920,1080,1.8
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.5kg,"928,00",Intel,Intel,1920,1080,1.6
Dell,Inspiron 5567,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Windows,10,2.36kg,"638,99",AMD,Intel,1366,768,2.5
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.2kg,"449,00",AMD,Intel,1920,1080,2.0
Acer,Swift 3,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.6kg,"884,00",Intel,Intel,1920,1080,1.8
Acer,Aspire A515-51G-37JS,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Windows,10,2.2kg,"572,00",Nvidia,Intel,1920,1080,2.7
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),15.6,1366x768,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Windows,10,2.05kg,"598,00",Intel,Intel,1366,768,2.7
HP,Probook 440,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.63kg,"988,00",Intel,Intel,1920,1080,1.8
Lenovo,V110-15IAP (N3350/4GB/1TB/No,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,No OS,Version Unknown,1.9kg,"252,36",Intel,Intel,1366,768,1.1
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,3kg,"938,00",Nvidia,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,No OS,Version Unknown,2.2kg,"499,00",Nvidia,Intel,1920,1080,2.5
HP,Envy 13-AD007nv,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Windows,10,1.32kg,"699,00",Intel,Intel,1920,1080,2.5
Acer,Aspire 5,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Windows,10,3kg,"655,00",Nvidia,Intel,1920,1080,2.7
